ID,TENURE,AGE,GENDER,NATIONALITY,AREA_CODE,STATE,REGION,STATUS_BEFORE,STATUS_AFTER,OFFER_TAKER,OFFER_TAKE_UP_DT,DATA_PURC_BEFORE,DATA_PURC_AFTER,DATA_CHRG_BEFORE,DATA_CHRG_AFTER,DATA_USG_BEFORE,DATA_USG_AFTER,VOICE_USG_BEFORE,VOICE_USG_AFTER,RLD_IND_BEFORE,RLD_IND_AFTER,RLD_AMT_BEFORE,RLD_AMT_AFTER,CPA_RVN_BEFORE,CPA_RVN_AFTER,ARPU_BEFORE,ARPU_AFTER,ACTVIITY_DAYS_AFTER,ACTIVITY_STATUS_AFTER,OFFER_CD,OFFER_NAME,OFFER_TYPE,RELOAD_CD,RELOAD_CHANNEL,RELOAD_TYPE
S1,30,-9999,?,Malaysia,11,SABAH,EAST WEST,Active,Active,N,?,N,Y,?,2,6.525621,1.021782,14.15,0,N,N,?,?,?,?,?,3,0,BEFORE & AFTER CAMP,,NA,NA,NA,NA,NA
S2,37,22,?,Malaysia,1,JOHORE,SOURTHERN,Active,Active,Y,10/05/2022,N,Y,?,3,0,4.869297,0,0.2,N,Y,?,25,?,?,?,23.36,0,BEFORE & AFTER CAMP,A001,BOS_1,FREE Internet (18GB),C1,RETAIL,NON-DIGITAL
S3,30,20,Female,Malaysia,11,SABAH,EAST WEST,Active,Close,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,9,BEFORE & AFTER CAMP,,NA,NA,NA,NA,NA
S4,32,21,Female,Malaysia,11,SABAH,EAST WEST,Active,Active,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,33,NO ACTIVITY SINCE SEP,,NA,NA,NA,NA,NA
S5,36,21,Male,Malaysia,12,SARAWAK,EAST WEST,Active,Active,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,34,NO ACTIVITY SINCE SEP,,NA,NA,NA,NA,NA
S6,18,21,Male,Malaysia,2,KEDAH,NORTHERN,Active,Active,N,?,Y,N,8,?,0.56714,4.447046,0,0,Y,Y,5,15.01,?,?,8,?,0,BEFORE & AFTER CAMP,,NA,NA,C1,CASH,NON-DIGITAL
S7,21,21,Male,Malaysia,12,SARAWAK,EAST WEST,Active,Active,N,?,N,N,?,?,0,0,0,0,N,N,?,?,?,?,?,?,37,NO ACTIVITY SINCE SEP,,NA,NA,NA,NA,NA
S8,60,22,Female,Malaysia,1,JOHORE,SOURTHERN,Active,Active,Y,10/05/2022,Y,N,15,?,0,0,0.3167,0.3167,N,N,?,?,?,?,0.3,0.3,5,DURING & AFTER CAMP,A002,BOS_2,Free Internet (10GB),NA,NA,NA
S9,29,22,Male,Malaysia,13,TERENGGANU,EASTERN,Active,Active,Y,10/06/2022,Y,N,15,?,0.006579,0,0,0,N,N,?,?,0.15,?,?,?,38,NO ACTIVITY SINCE SEP,A002,BOS_2,Free Internet (10GB),NA,NA,NA
S10,37,22,Female,Malaysia,11,SABAH,EAST WEST,Active,Active,N,?,N,N,?,?,0,0,5.4833,0,Y,N,5,?,?,?,2.4,?,19,DURING CAMP THEN REMAIN,,NA,NA,C1,VOUCHER,NON-DIGITAL
